Link_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Link_id,Link_throughput_plot,Packet_transmitted,Packet_transmitted,Packet_errored,Packet_errored,Packet_collided,Packet_collided,Bytes_transmitted(bytes),Payload_transmitted(bytes),Overhead_transmitted(bytes),,,,
 , ,Data,Control,Data,Control,Data,Control, , , ,,,,
DeviceId,InterfaceId,Frame Sent,Frame Received,RTS Sent,RTS Received,CTS Sent,CTS Received,Successful Backoff,Failed Backoff,,,,,
2,1,0,1003,0,0,0,0,0,0,,,,,
2,1,1002,0,0,0,0,0,952,0,,,,,
2,1,0,0,0,0,0,0,0,0,,,,,
2,1,0,0,0,0,0,0,0,0,,,,,
6,2,0,1002,0,0,0,0,0,0,,,,,
6,2,1004,0,0,0,0,0,964,0,,,,,
6,2,0,0,0,0,0,0,0,0,,,,,
6,2,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
L2_SWITCH_3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Mac Address,Type,OutPort,,,,,,,,,,,,
AF1D00000101,Dynamic,1,,,,,,,,,,,,
AF1D00000401,Dynamic,2,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Application_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Application Id,Application Name,Source Id,Destination Id,Packet generated,Packet received,Payload generated (bytes),Payload received (bytes),Throughput (Mbps),Delay(microsec),Jitter(microsec),,,,
1,App1_CBR,1,2,1000,1000,1460000,1460000,0.584,24005.2484,3177.781399,,,,
